LOAN_ID,LOAN_TYPE,GENDER,CAR_OWNERSHIP,ANNUAL_INCOME,AMOUNT_CREDIT,AGE_OF_CAR,PERSONAL_PHONE,WORK_PHONE,HOME_PHONE,FAMILY_SIZE,CONSUMER_LOCATION,DATE_APPL,DOB,DATE_PHONECHANGE,DATE_EMP,PRED_DELINQ
1,Cash loans,F,N,157500,723996,0,1,0,1,2,1,7/17/2021,9/21/1992,5/22/2021,10/23/2020,1
2,Cash loans,M,N,292500,675000,0,1,1,1,2,0,2/1/2021,6/16/1975,10/18/2020,7/16/2020,1
3,Cash loans,F,N,157500,245619,0,1,0,1,1,0,3/13/2021,3/7/1973,8/9/2020,3/7/2000,1
5,Revolving loans,M,N,180000,540000,0,1,0,0,5,0,7/17/2021,8/1/1979,5/14/2020,9/13/2018,1
6,Cash loans,F,N,202500,436032,0,1,0,1,3,0,3/13/2021,6/21/1993,11/3/2020,11/22/2020,1
7,Revolving loans,M,N,81000,247500,0,1,1,1,2,1,8/12/2021,8/27/1971,2/26/2021,3/6/2015,0
8,Revolving loans,M,N,185000,274500,0,1,0,0,1,1,8/12/2021,7/25/1979,10/20/2019,4/20/2021,0
9,Revolving loans,M,Y,225000,270000,1,1,0,0,2,0,2/1/2021,6/23/1973,5/26/2019,7/23/2018,0
11,Revolving loans,M,N,215200,295000,0,1,0,0,1,1,8/15/2020,7/28/1978,10/23/2018,4/23/2020,0
13,Revolving loans,M,N,125000,272000,0,1,0,0,1,1,8/12/2021,7/25/1979,10/20/2019,4/20/2021,0
